"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"19417143";"michel";"michel";"much";"and hit shal beo þe to michel blisse .";"blisse";"bliss";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19433608";"michel";"michel";"much";"and *exp* be+d michel blisse among mannen .";"blisse";"bliss";"";"1";"X";"MX/1";"EMO";"CMTRINIT";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19455481";"alle";"alle";"all";"alle blisse and reste inowh";"blisse";"bliss";"";"1";"X";"M1";"EMO";"CMVICES1";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19484427";"michele";"michele";"much";"mid michele blisse";"blisse";"bliss";"";"1";"X";"M1";"EMO";"CMVICES1";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"19504552";"nan";"nan";"no";"hie nan o+der blisse ne habbe+d , ne ne recche+d to habben , buten of ates and of drenches and of here likames hlustes";"blisse";"bliss";"";"1";"X";"M1";"EMO";"CMVICES1";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17219288";"no";"no";"no";"*T*-1 no blood of synne haad defoyled";"blood";"blood";"";"1";"X";"M2/3";"SL";"CMAELR3";"";"PROSE";"LATIN";"WRITTEN";"INSTR REL";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m2";"f_m2";"b_me"
"17695577";"mech";"mech";"much";"This man spilt mech Cristen blod ,";"blod";"blood";"";"1";"CAPGRAVE JOHN";"M4";"EML";"CMCAPCHR";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"17915822";"no";"no";"no";"no blotte be bihynde";"blotte";"blood";"";"1";"CHAUCER GEOFFREY";"M3";"EML";"CMCTPROS";"";"PROSE";"FRENCH";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18281146";"al";"al";"all";"wi+d al þis blod";"blod";"blood";"";"1";"X";"M1";"WMO";"CMKATHE";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m1";"e_m1";"b_me"
"18492148";"no";"no";"no";"of no hyghe blood";"blood";"blood";"";"1";"MALORY THOMAS";"M4";"WML";"CMMALORY";"";"PROSE";"X";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
