"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"father","l_l3",0,0,17,229,16,35,0,0,7,44,"c",,0.5,0,0.074235807860262,0.0760869565217391,-2.496741107435,0.457142857142857,0.458333333333333,-0.167054084663166,,0.5,0,0.159090909090909,0.166666666666667,-1.6094379124341,FALSE,TRUE,TRUE,FALSE,0,264
"fish","l_l3",0,0,4,20,1,4,0,2,0,4,"c",,0.5,0,0.2,0.214285714285714,-1.29928298413026,0.25,0.3,-0.847297860387204,0,0.166666666666667,-1.6094379124341,0,0.1,-2.19722457733622,FALSE,TRUE,TRUE,FALSE,0,24
"flesh","l_l3",0,0,0,24,1,4,0,0,0,4,"s",,0.5,0,0,0.02,-3.89182029811063,0.25,0.3,-0.847297860387204,,0.5,0,0,0.1,-2.19722457733622,FALSE,TRUE,TRUE,FALSE,0,28
"folk","l_l3",0,0,8,8,0,0,2,2,4,4,"c",,0.5,0,1,0.944444444444444,2.83321334405622,,0.5,0,1,0.833333333333333,1.6094379124341,1,0.9,2.19722457733622,FALSE,TRUE,FALSE,FALSE,0,8
"fruit","l_l3",0,1,16,87,3,34,3,6,6,42,"s",0,0.25,-1.09861228866811,0.183908045977011,0.1875,-1.46633706879343,0.0882352941176471,0.1,-2.19722457733622,0.5,0.5,0,0.142857142857143,0.151162790697674,-1.72551008368685,TRUE,TRUE,TRUE,TRUE,1,122
"fur","l_l3",0,0,1,2,1,1,0,0,0,1,"s",,0.5,0,0.5,0.5,0,1,0.75,1.09861228866811,,0.5,0,0,0.25,-1.09861228866811,FALSE,TRUE,TRUE,FALSE,0,3
"gold","l_l3",0,0,0,62,5,26,0,2,0,27,"s",,0.5,0,0,0.00793650793650794,-4.8283137373023,0.192307692307692,0.203703703703704,-1.36330484289519,0,0.166666666666667,-1.6094379124341,0,0.0178571428571429,-4.00733318523247,FALSE,TRUE,TRUE,FALSE,0,88
"grace","l_l3",0,0,11,32,7,9,2,3,4,13,"a",,0.5,0,0.34375,0.348484848484849,-0.625705899764413,0.777777777777778,0.75,1.09861228866811,0.666666666666667,0.625,0.510825623765991,0.307692307692308,0.321428571428571,-0.747214401830221,FALSE,TRUE,TRUE,FALSE,0,41
"hand","l_l3",0,0,167,455,14,107,10,14,40,148,"c",,0.5,0,0.367032967032967,0.367324561403509,-0.543711734683033,0.130841121495327,0.134259259259259,-1.86381278686811,0.714285714285714,0.7,0.847297860387203,0.27027027027027,0.271812080536913,-0.985448198868021,FALSE,TRUE,TRUE,FALSE,0,562
"heart","l_l3",0,0,35,209,15,51,3,14,8,62,"c",,0.5,0,0.167464114832536,0.169047619047619,-1.59239204516111,0.294117647058824,0.298076923076923,-0.856472236663245,0.214285714285714,0.233333333333333,-1.18958406687384,0.129032258064516,0.134920634920635,-1.85813453817293,FALSE,TRUE,TRUE,FALSE,0,260
"heaven","l_l3",0,0,11,14,0,3,0,1,5,8,"a",,0.5,0,0.785714285714286,0.766666666666667,1.18958406687384,0,0.125,-1.94591014905531,0,0.25,-1.09861228866811,0.625,0.611111111111111,0.451985123743057,FALSE,TRUE,TRUE,FALSE,0,17
"honey","l_l3",0,0,0,5,0,0,0,1,0,0,"s",,0.5,0,0,0.0833333333333333,-2.39789527279837,,0.5,0,0,0.25,-1.09861228866811,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,5
"horse","l_l3",3,3,171,407,92,191,15,21,21,213,"c",1,0.875,1.94591014905531,0.42014742014742,0.420343137254902,-0.321364941325993,0.481675392670157,0.481770833333333,-0.0729489996461678,0.714285714285714,0.704545454545455,0.86903784702361,0.0985915492957746,0.100467289719626,-2.19204321859422,TRUE,TRUE,TRUE,TRUE,3,601
"hound","l_l3",0,0,11,15,1,2,0,0,7,10,"c",,0.5,0,0.733333333333333,0.71875,0.93826963859293,0.5,0.5,0,,0.5,0,0.7,0.681818181818182,0.762140052046896,FALSE,TRUE,TRUE,FALSE,0,17
"house","l_l3",0,0,57,569,39,332,4,11,28,382,"c",,0.5,0,0.100175746924429,0.100877192982456,-2.18751576320926,0.117469879518072,0.118618618618619,-2.00557696736107,0.363636363636364,0.375,-0.510825623765991,0.0732984293193717,0.0744125326370757,-2.52080425869758,FALSE,TRUE,TRUE,FALSE,0,901
"charity","l_l3",0,0,4,14,1,4,0,0,2,6,"a",,0.5,0,0.285714285714286,0.3,-0.847297860387204,0.25,0.3,-0.847297860387204,,0.5,0,0.333333333333333,0.357142857142857,-0.587786664902119,FALSE,TRUE,TRUE,FALSE,0,18
"king","l_l3",0,0,17,290,15,252,0,1,5,257,"c",,0.5,0,0.0586206896551724,0.0601374570446735,-2.74910074093257,0.0595238095238095,0.0612648221343874,-2.72932759954949,0,0.25,-1.09861228866811,0.0194552529182879,0.0213178294573643,-3.82666315647699,FALSE,TRUE,TRUE,FALSE,0,542
"land","l_l3",0,0,28,141,4,60,4,6,11,77,"a",,0.5,0,0.198581560283688,0.200704225352113,-1.38189874964685,0.0666666666666667,0.0737704918032787,-2.53016324137612,0.666666666666667,0.642857142857143,0.587786664902119,0.142857142857143,0.147435897435897,-1.7548549122926,FALSE,TRUE,TRUE,FALSE,0,201
"loaf","l_l3",0,0,3,7,4,4,0,0,1,5,"s",,0.5,0,0.428571428571429,0.4375,-0.251314428280906,1,0.9,2.19722457733622,,0.5,0,0.2,0.25,-1.09861228866811,FALSE,TRUE,TRUE,FALSE,0,11
"love","l_l3",0,0,4,136,3,20,0,1,0,22,"a",,0.5,0,0.0294117647058824,0.0328467153284672,-3.38250524865,0.15,0.166666666666667,-1.6094379124341,0,0.25,-1.09861228866811,0,0.0217391304347826,-3.80666248977032,FALSE,TRUE,TRUE,FALSE,0,156
"man","l_l3",8,8,521,1328,302,497,44,123,129,674,"c",1,0.944444444444444,2.83321334405622,0.392319277108434,0.392400300978179,-0.437233780655984,0.607645875251509,0.607429718875502,0.436520898045476,0.357723577235772,0.358870967741935,-0.580267832488092,0.191394658753709,0.191851851851852,-1.43802192413353,TRUE,TRUE,TRUE,TRUE,8,1833
"manner","l_l3",0,0,37,299,75,158,0,9,5,192,"a",,0.5,0,0.123745819397993,0.125,-1.94591014905531,0.474683544303797,0.474842767295597,-0.100713975601831,0,0.05,-2.94443897916644,0.0260416666666667,0.0284974093264249,-3.52903075317204,FALSE,TRUE,TRUE,FALSE,0,457
